cn_id,split,hateSpeech,counterSpeech,cs_keywords_score,cs_keywords_frequency,sorted_cs_keywords,hs_keywords,hs_keywords_score,hs_keywords_frequency,sorted_hs_keywords,sorted_generated_cn_keywords,generated_cn_keywords
ENT1ST0020HS0084CN001181,train,Will Ramadan stop Muslims from terrorism and raping children? Likely it won't.,"There's the same proportion of criminals among muslims as it is among western people. You cannot say that Muslims are doing terrorism and raping children, this is simply exaggeration.","203.226, 135.484, 67.742, 67.742, 64.516, 64.516, 32.258, 32.258","1, 1, 1, 1, 2, 1, 1, 1","same proportion', 'proportion of criminals', 'exaggeration', 'western people', 'raping', 'terrorism', 'children', 'muslims'","muslims from terrorism, will ramadan, raping, children","484.615, 153.846, 76.923, 76.923","1, 1, 1, 1","muslims from terrorism, will ramadan, raping, children",,
ENT1ST0022HS0014CN001241,train,"We never see them protesting against ISIS or the Saudi human rights abuses, etc.? Because they are a bunch of hypocrites.",Many victims of terror are Muslim.,"500.0, 333.333, 166.667","1, 1, 2001","victims of terror', 'many victims', 'muslim'","bunch of hypocrites, saudi human rights, rights abuses, isis, protesting","157.895, 157.895, 105.26299999999999, 52.632, 52.632","1, 1, 1, 1, 1","bunch of hypocrites, rights abuses, protesting, saudi human rights, isis",,
ENT1ST0022HS0014CN001242,train,"We never see them protesting against ISIS or the Saudi human rights abuses, etc.? Because they are a bunch of hypocrites.",Because the act of one person or group is not reflective of an entire faith.,"125.0, 62.5, 62.5, 62.5","1, 1, 1, 1","reflective', 'group', 'person', 'entire faith'","bunch of hypocrites, saudi human rights, rights abuses, isis, protesting","157.895, 157.895, 105.26299999999999, 52.632, 52.632","1, 1, 1, 1, 1","bunch of hypocrites, rights abuses, protesting, saudi human rights, isis",,
ENT1ST0022HS0014CN001244,train,"We never see them protesting against ISIS or the Saudi human rights abuses, etc.? Because they are a bunch of hypocrites.","There are many examples of Muslims protesting against ISIS. Seriously, do a google search.","214.28599999999997, 142.857, 142.857, 142.857, 71.429","1, 1, 1, 1, 1","examples of muslims', 'google search', 'many examples', 'muslims protesting', 'isis'","bunch of hypocrites, saudi human rights, rights abuses, isis, protesting","157.895, 157.895, 105.26299999999999, 52.632, 52.632","1, 1, 1, 1, 1","bunch of hypocrites, rights abuses, protesting, saudi human rights, isis",,
ENT1ST0022HS0014CN001245,train,"We never see them protesting against ISIS or the Saudi human rights abuses, etc.? Because they are a bunch of hypocrites.",A simple google search of this will illustrate otherwise (provide evidence).,"272.72700000000003, 190.90900000000002","1, 1","simple google search', 'evidence'","bunch of hypocrites, saudi human rights, rights abuses, isis, protesting","157.895, 157.895, 105.26299999999999, 52.632, 52.632","1, 1, 1, 1, 1","bunch of hypocrites, rights abuses, protesting, saudi human rights, isis",,
ENT1ST0022HS0014CN001246,train,"We never see them protesting against ISIS or the Saudi human rights abuses, etc.? Because they are a bunch of hypocrites.",Have you heard about the Arab Counter-Terrorism Coalition?,1600,1,arab counter-terrorism coalition',"bunch of hypocrites, saudi human rights, rights abuses, isis, protesting","157.895, 157.895, 105.26299999999999, 52.632, 52.632","1, 1, 1, 1, 1","bunch of hypocrites, rights abuses, protesting, saudi human rights, isis",,
ENT1ST0022HS0017CN001187,train,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.","Terrorism and targeting the general public with bombs, assault rifles or any other means is horrific, there is no excuse but lets be clear when a white man does it its called mental illness regardless of what groups he belongs to; when a black man does it its called terrorism.","91.304, 91.304, 65.217, 43.478, 43.478, 43.478, 43.478, 43.478, 21.739, 21.739, 21.739, 21.739","2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","public with bombs', 'other means', 'black man', 'general public', 'assault rifles', 'white man', 'targeting', 'horrific', 'mental illness', 'groups', 'excuse', 'terrorism'","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims","350.0, 166.667, 125.0, 41.667","1, 1, 1, 1","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims",,
ENT1ST0022HS0017CN001188,train,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.","And pipe bombs were sent to Trump's opposition, terror in all it is forms must be defeated. No use just blaming Muslims.","273.913, 130.435, 86.95700000000001, 43.478, 43.478, 43.478","1, 1, 1, 1, 1, 1","it is forms', '""trump s opposition""', 'pipe bombs', 'terror', 'blaming', 'muslims'","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims","350.0, 166.667, 125.0, 41.667","1, 1, 1, 1","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims",,
ENT1ST0022HS0017CN001189,train,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.","Actually, in 2015 13,286 people were killed in the US by firearms and 26,819 were injured. Tell me does that count as terrorism or it is only that when Muslims do it?","190.90900000000002, 90.90899999999999, 30.303, 30.303","1, 1, 1, 1","count as terrorism', 'us by firearms', 'people', 'muslims'","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims","350.0, 166.667, 125.0, 41.667","1, 1, 1, 1","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims",,
ENT1ST0022HS0017CN001190,train,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.","Terrorists come in all religions and political views. People opposing Trump were sent letter bombs, the 'Troubles' saw Christian terrorists on both sides of the border. Let's challenge all terrorism.","107.14299999999999, 107.14299999999999, 75.0, 71.429, 71.429, 71.429, 35.714, 35.714, 35.714, 35.714, 35.714, 35.714","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","""let s challenge""', 'saw christian terrorists', 'political views', 'letter bombs', 'people opposing', 'trump', 'sides', 'border', 'troubles', 'terrorists', 'terrorism', 'religions'","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims","350.0, 166.667, 125.0, 41.667","1, 1, 1, 1","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims",,
ENT1ST0022HS0017CN001191,train,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.","[fact check and post link to accurate statistics, statistic is likely false or extremely skewed][add meme] smh trying to post statistics when they're not even accurate.","68.96600000000001, 68.96600000000001, 68.96600000000001, 68.96600000000001, 34.483000000000004, 34.483000000000004, 34.483000000000004, 34.483000000000004, 34.483000000000004, 34.483000000000004, 34.483000000000004","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","smh trying', 'post link', 'fact check', 'accurate statistics', 'meme', 'skewed', 'statistic', 'accurate', 'false', 'statistics', 'likely'","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims","350.0, 166.667, 125.0, 41.667","1, 1, 1, 1","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims",,
ENT1ST0022HS0017CN001192,train,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.",The vast majority of Global Terrorism is about politics and land not faith. One fact you do not seem to want to deal with.,"609.524, 200.0, 47.619, 47.619, 47.619","1, 1, 1, 1, 1","majority of global terrorism', 'land', 'politics', 'vast majority', 'faith'","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims","350.0, 166.667, 125.0, 41.667","1, 1, 1, 1","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims",,
ENT1ST0022HS0017CN001193,train,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.","Pipe bombs were sent to Trump's opposition, including Robert De Niro, this scapegoating of Muslims is the real problem and blinds us to the bigger picture.","331.579, 157.895, 157.895, 105.26299999999999, 105.26299999999999, 105.26299999999999, 52.632","1, 1, 1, 1, 1, 1, 1","bigger picture', 'blinds', '""trump s opposition""', 'robert de niro', 'scapegoating of muslims', 'pipe bombs', 'real problem'","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims","350.0, 166.667, 125.0, 41.667","1, 1, 1, 1","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims",,
ENT1ST0022HS0017CN001194,train,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.","So when a white person kills someone, they're called a murderer. When a minority does it they're labelled a terrorist. We need to combat violent acts in all their forms. If we focus on just one group then we are blind to the rest of the problem. [picture of iceberg].","53.571000000000005, 37.5, 35.714, 35.714, 17.857, 17.857, 17.857, 17.857, 17.857","1, 1, 1, 1, 1, 1, 1, 1, 1","picture of iceberg', 'white person', 'murderer', 'violent acts', 'blind', 'minority', 'terrorist', 'rest', 'group'","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims","350.0, 166.667, 125.0, 41.667","1, 1, 1, 1","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims",,
ENT1ST0022HS0017CN001196,train,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.","Actually, the FBI considers the largest terrorist threat right now to be from far-right extremist groups.","333.333, 333.333, 111.111","1, 1, 2001","far-right extremist groups', 'largest terrorist threat', 'fbi'","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims","350.0, 166.667, 125.0, 41.667","1, 1, 1, 1","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims",,
ENT1ST0022HS0017CN001197,train,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.","Seriously, I would love to know where you get your statistics from. They are so far from the truth.","43.478, 43.478","1, 1","truth', 'statistics'","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims","350.0, 166.667, 125.0, 41.667","1, 1, 1, 1","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims",,
ENT1ST0022HS0017CN001198,train,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.",1) a quick google search shows that your stats are plain wrong about everything and 2) most Global Terrorism is motivated by politics and not religion. That is why no one is talking about it.,"203.226, 96.774, 32.258, 32.258, 32.258, 32.258, 32.258","1, 1, 1, 1, 1, 1, 1","most global terrorism', 'quick google search', 'stats', 'politics', 'talking', 'wrong', 'religion'","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims","350.0, 166.667, 125.0, 41.667","1, 1, 1, 1","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims",,
ENT1ST0022HS0017CN001199,train,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.","Of all the mass shootings that took place in the US in 2018, all were committed by white men. Were they terrorists too or just 'lone wolves' with mental health issues as the media says?","100.0, 66.667, 66.667, 66.667, 33.333, 33.333, 33.333","1, 1, 1, 1, 1, 1, 1","mental health issues', 'lone wolves', 'mass shootings', 'white men', 'place', 'media', 'terrorists'","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims","350.0, 166.667, 125.0, 41.667","1, 1, 1, 1","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims",,
ENT1ST0022HS0017CN001200,train,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.",Could you send me a link to which study you are quoting? Call me sceptical.,"55.556000000000004, 55.556000000000004, 55.556000000000004, 55.556000000000004","1, 1, 1, 1","quoting', 'study', 'sceptical', 'link'","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims","350.0, 166.667, 125.0, 41.667","1, 1, 1, 1","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims",,
ENT1ST0022HS0017CN001201,train,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.","Source please? Also, even if true how is this representative of all islam?",59,1,islam',"fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims","350.0, 166.667, 125.0, 41.667","1, 1, 1, 1","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims",,
ENT1ST0022HS0017CN001202,train,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.",Your statistic about suicide bombings also includes incidents in war. Perhaps we should remember the holocaust and the atrocities committed by the far right?,"200.0, 150.0, 100.0, 50.0, 50.0","1, 1, 1, 1, 1","statistic about suicide bombings', 'incidents in war', 'holocaust', 'atrocities', 'far right'","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims","350.0, 166.667, 125.0, 41.667","1, 1, 1, 1","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims",,
ENT1ST0022HS0017CN001203,train,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.","Your statistics are not right, where did you get them? Why skew the stats to focus on Muslims when every terrorist, bomber, and rogue shooter needs to be stopped.","60.606, 30.303, 30.303, 30.303, 30.303, 30.303","1, 1, 1, 1, 1, 1","rogue shooter', 'bomber', 'stats', 'terrorist', 'statistics', 'muslims'","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims","350.0, 166.667, 125.0, 41.667","1, 1, 1, 1","fact about global terrorism, number of suicide bombings, bombings by muslims, non-muslims",,
ENT1ST0022HS0022CN001248,train,Jihadi Bride wants to return to the UK now that Isis is defeated. She gave up all rights when she joined the terrorists. Let her rot in a camp in Raqqa!!,"This isn't really about the lass as such, more about a countries responsibilities for its citizens, surely, including not just leaving another country to sort out the mess caused by our rogue citizens.","57.143, 57.143, 28.570999999999998, 28.570999999999998, 28.570999999999998, 28.570999999999998","1, 1, 1, 1, 1, 1","countries responsibilities', 'rogue citizens', 'lass', 'mess', 'citizens', 'country'","jihadi bride, camp, rights, rot, terrorists, isis, uk","60.606, 30.303, 30.303, 30.303, 30.303, 30.303, 30.303","1, 1, 1, 1, 1, 1, 1","camp, jihadi bride, rot, rights, isis, uk, terrorists",,
ENT1ST0022HS0022CN001249,train,Jihadi Bride wants to return to the UK now that Isis is defeated. She gave up all rights when she joined the terrorists. Let her rot in a camp in Raqqa!!,I guess the right to deport naughty foreign nationals should cut both ways?,250,1,naughty foreign nationals',"jihadi bride, camp, rights, rot, terrorists, isis, uk","60.606, 30.303, 30.303, 30.303, 30.303, 30.303, 30.303","1, 1, 1, 1, 1, 1, 1","camp, jihadi bride, rot, rights, isis, uk, terrorists",,
ENT1ST0022HS0050CN001250,train,"You might say, Don't worry, only 5-10% of Muslims are extremists. Remember, in 1940 only 7% of Germans were Nazi's.",You cannot compare a faith of 1.6 billion to Nazi.,"76.923, 76.923","1, 1","nazi', 'faith'","germans, nazi, muslims, extremists","33.333, 33.333, 33.333, 33.333","1, 1, 1, 1","nazi, germans, extremists, muslims",,
ENT1ST0022HS0050CN001251,train,"You might say, Don't worry, only 5-10% of Muslims are extremists. Remember, in 1940 only 7% of Germans were Nazi's.","So more than 95% are fighting extremism and spreading peace and tolerance, there are extremists in every group.","105.0, 105.0, 100.0, 50.0, 50.0, 50.0","1, 1, 1, 1, 1, 1","spreading peace', 'fighting', 'extremism', 'extremists', 'group', 'tolerance'","germans, nazi, muslims, extremists","33.333, 33.333, 33.333, 33.333","1, 1, 1, 1","nazi, germans, extremists, muslims",,
ENT1ST0022HS0050CN001252,train,"You might say, Don't worry, only 5-10% of Muslims are extremists. Remember, in 1940 only 7% of Germans were Nazi's.",Where did you get these statistics?,125,1,statistics',"germans, nazi, muslims, extremists","33.333, 33.333, 33.333, 33.333","1, 1, 1, 1","nazi, germans, extremists, muslims",,
ENT1ST0022HS0050CN001254,train,"You might say, Don't worry, only 5-10% of Muslims are extremists. Remember, in 1940 only 7% of Germans were Nazi's.","Is this where you got your facts, do read the rest of the article? Https://www.politifact.com/punditfact/statements/2015/aug/28/curt-schilling/schilling-throws-wild-pitch-nazi-stat/.","52.632, 52.632, 52.632","1, 1, 2001","article', 'rest', 'facts'","germans, nazi, muslims, extremists","33.333, 33.333, 33.333, 33.333","1, 1, 1, 1","nazi, germans, extremists, muslims",,
ENT1ST0022HS0050CN001255,train,"You might say, Don't worry, only 5-10% of Muslims are extremists. Remember, in 1940 only 7% of Germans were Nazi's.",Actually the facts say it is just 0.01% of Muslims who might be extremists. So stop spreading false facts to bias public opinion.,"86.95700000000001, 86.95700000000001, 43.478, 43.478, 43.478, 43.478, 43.478","1, 1, 1, 1, 1, 1, 1","public opinion', 'false facts', 'bias', 'extremists', 'spreading', 'facts', 'muslims'","germans, nazi, muslims, extremists","33.333, 33.333, 33.333, 33.333","1, 1, 1, 1","nazi, germans, extremists, muslims",,
ENT1ST0022HS0076CN001247,train,There was another terrorist attack in France by a crazy Muslim person. His mental problem is actually called Islam!,"I agree that people attacking other people are not right, but no need to extrapolate it to other Muslim people!","150.0, 100.0, 50.0","1, 1, 2001","other muslim people', 'people attacking', 'people'","attack in france, crazy muslim person, mental problem, terrorist attack, islam","420.0, 200.0, 133.333, 133.333, 66.667","1, 1, 1, 1, 1","crazy muslim person, attack in france, mental problem, terrorist attack, islam",,
ENT1ST0022HS0077CN001224,train,"Not all Muslims are terrorists, but all terrorists are Muslims.",Are you sure it is not just that Muslim terrorists get a lot of biased media coverage?,"280.0, 133.333","1, 1","muslim terrorists', 'media coverage'","muslims, terrorists","153.846, 153.846","2, 2","terrorists, muslims",,
ENT1ST0022HS0077CN001225,train,"Not all Muslims are terrorists, but all terrorists are Muslims.",I do not see a lot of news articles about far right terrorism even though it is much more prevalent and is considered the biggest and fastest growing threat.,"161.53799999999998, 153.846, 38.461999999999996, 38.461999999999996, 38.461999999999996, 38.461999999999996, 38.461999999999996","1, 1, 1, 1, 1, 1, 1","lot of news articles', 'biggest', 'fastest', 'right terrorism', 'prevalent', 'growing', 'threat'","muslims, terrorists","153.846, 153.846","2, 2","terrorists, muslims",,
ENT1ST0022HS0077CN001226,train,"Not all Muslims are terrorists, but all terrorists are Muslims.",And your evidence is. Or does your logic stop there.,"161.53799999999998, 76.923","1, 1","logic', 'evidence'","muslims, terrorists","153.846, 153.846","2, 2","terrorists, muslims",,
ENT1ST0022HS0077CN001227,train,"Not all Muslims are terrorists, but all terrorists are Muslims.",So do all those Western bombings and invasions of Muslim countries not count as terrorism?,"363.63599999999997, 190.90900000000002, 181.81799999999998","1, 1, 2001","invasions of muslim countries', 'western bombings', 'terrorism'","muslims, terrorists","153.846, 153.846","2, 2","terrorists, muslims",,
ENT1ST0022HS0077CN001228,train,"Not all Muslims are terrorists, but all terrorists are Muslims.",Only because when a non-muslim commits a terrorist act it is not called terrorism. Instead they're a 'lone wolf' with a 'traumatic past'.,"77.778, 74.074, 74.074, 74.074, 37.037","1, 1, 1, 1, 1","terrorist act', 'traumatic past', 'lone wolf', 'non-muslim', 'terrorism'","muslims, terrorists","153.846, 153.846","2, 2","terrorists, muslims",,
ENT1ST0022HS0077CN001229,train,"Not all Muslims are terrorists, but all terrorists are Muslims.","Well the Home Office would say differently, but if it helps your cause.",143,1,home office',"muslims, terrorists","153.846, 153.846","2, 2","terrorists, muslims",,
ENT1ST0022HS0077CN001230,train,"Not all Muslims are terrorists, but all terrorists are Muslims.",Continuity Army? Ulster Freedom Fighters? Even the Basque Freedom Fighters? Those Muslims get everywhere!,"420.0, 300.0, 300.0, 100.0, 100.0, 100.0","1, 1, 1, 1, 1, 1","continuity army', 'ulster freedom fighters', 'basque freedom fighters', 'fighters', 'freedom', 'muslims'","muslims, terrorists","153.846, 153.846","2, 2","terrorists, muslims",,
ENT1ST0022HS0077CN001231,train,"Not all Muslims are terrorists, but all terrorists are Muslims.",This is demonstrably false. Radical Christian terrorism has been behind countless attacks. Terrorism can come from any group and the only thing all terrorism has in common is that it is abhorrent.,"210.0, 140.0, 66.667, 33.333, 33.333, 33.333, 33.333, 33.333","1, 2, 1, 1, 1, 1, 1, 1","radical christian terrorism', 'countless attacks', 'abhorrent', 'only', 'group', 'false', 'thing', 'terrorism'","muslims, terrorists","153.846, 153.846","2, 2","terrorists, muslims",,
ENT1ST0022HS0077CN001232,train,"Not all Muslims are terrorists, but all terrorists are Muslims.",Accept far right terrorism is increasing while overall terrorism acts are going down. Https://www.bbc.co.uk/news/uk-43200968.,"450.0, 300.0","1, 1","overall terrorism acts', 'right terrorism'","muslims, terrorists","153.846, 153.846","2, 2","terrorists, muslims",,
ENT1ST0022HS0077CN001233,train,"Not all Muslims are terrorists, but all terrorists are Muslims.",Apart from all those who use violence/terrorism who are not Muslim?,77,1,muslim',"muslims, terrorists","153.846, 153.846","2, 2","terrorists, muslims",,
ENT1ST0022HS0077CN001234,train,"Not all Muslims are terrorists, but all terrorists are Muslims.",What about recent school and mall shootings all over the US? Those were White Christian terrorists.,"272.72700000000003, 181.81799999999998, 181.81799999999998","1, 1, 2001","white christian terrorists', 'recent school', 'mall shootings'","muslims, terrorists","153.846, 153.846","2, 2","terrorists, muslims",,
ENT1ST0022HS0077CN001235,train,"Not all Muslims are terrorists, but all terrorists are Muslims.",If we end up with a hard border I hope we do not find out.,133,1,hard border',"muslims, terrorists","153.846, 153.846","2, 2","terrorists, muslims",,
ENT1ST0022HS0077CN001236,train,"Not all Muslims are terrorists, but all terrorists are Muslims.",There are a lot of non-Muslim terrorists but the media focuses on Muslim terrorists and does not call the non-Muslim ones terrorists. When was the last time you saw a white non-muslim school shooter in the US branded a 'terrorist'?,"111.111, 83.333, 83.333, 55.556000000000004, 55.556000000000004, 27.778000000000002, 27.778000000000002","1, 1, 1, 1, 1, 1, 1","lot of non-muslim terrorists', 'non-muslim ones terrorists', 'white non-muslim school', 'school shooter', 'muslim terrorists', 'terrorist', 'media'","muslims, terrorists","153.846, 153.846","2, 2","terrorists, muslims",,
ENT1ST0022HS0077CN001237,train,"Not all Muslims are terrorists, but all terrorists are Muslims.","Jeremy Joseph Christian, James Field Jr, James Harris Jackson, Wade Michael Page, need I go on?","900.0, 428.57099999999997, 428.57099999999997, 428.57099999999997","1, 1, 1, 1","wade michael page', 'james field jr', 'jeremy joseph christian', 'james harris jackson'","muslims, terrorists","153.846, 153.846","2, 2","terrorists, muslims",,
ENT1ST0022HS0077CN001238,train,"Not all Muslims are terrorists, but all terrorists are Muslims.","Studies in the US show the majority of terrorist incidents are committed by right-wing extremists, not Muslims. Be critical of what you read, the news is very biased.","311.111, 74.074, 37.037, 37.037, 37.037","1, 1, 1, 1, 1","majority of terrorist incidents', 'right-wing extremists', 'studies', 'news', 'muslims'","muslims, terrorists","153.846, 153.846","2, 2","terrorists, muslims",,
ENT1ST0022HS0077CN001239,train,"Not all Muslims are terrorists, but all terrorists are Muslims.",How about all those non-Muslim school shooters? Is mass murder not terrorism if a non-Muslim does it?,"230.769, 161.53799999999998, 153.846, 76.923","1, 1, 1, 1","non-muslim school shooters', 'mass murder', 'non-muslim', 'terrorism'","muslims, terrorists","153.846, 153.846","2, 2","terrorists, muslims",,
ENT1ST0022HS0077CN001240,train,"Not all Muslims are terrorists, but all terrorists are Muslims.",This is not true. They are non-Muslim terrorists out there. Have you forgotten?,133,1,non-muslim terrorists',"muslims, terrorists","153.846, 153.846","2, 2","terrorists, muslims",,
ENT1ST0022HS0097CN001204,train,Every Muslim is a potential terrorist.,"Everyone is a potential everything, what would you like to be?",154,1,potential everything',"potential terrorist, muslim","333.333, 166.667","1, 1","potential terrorist, muslim",,
ENT1ST0022HS0097CN001205,train,Every Muslim is a potential terrorist.,"I think becoming a terrorist takes a very narrow minded person with a very closed world view, ah err sorry.","157.895, 52.632, 52.632","1, 1, 2001","closed world view', 'terrorist', 'person'","potential terrorist, muslim","333.333, 166.667","1, 1","potential terrorist, muslim",,
ENT1ST0022HS0097CN001206,train,Every Muslim is a potential terrorist.,The majority of Muslims worldwide are peaceful.,"900.0, 142.857","1, 1","peaceful', 'majority of muslims'","potential terrorist, muslim","333.333, 166.667","1, 1","potential terrorist, muslim",,
ENT1ST0022HS0097CN001207,train,Every Muslim is a potential terrorist.,Many Muslims died in terrorist attacks such as 9/11 in the US and 7/7 in the UK.,"125.0, 125.0, 62.5","1, 1, 2001","terrorist attacks', 'many muslims', 'uk'","potential terrorist, muslim","333.333, 166.667","1, 1","potential terrorist, muslim",,
ENT1ST0022HS0097CN001208,train,Every Muslim is a potential terrorist.,"No, Muslims are actually more likely to be the victim of a terrorist attack, especially those living in the Middle-East.","90.90899999999999, 45.455, 45.455, 45.455, 45.455, 45.455","1, 1, 1, 1, 1, 1","terrorist attack', 'middle-east', 'victim', 'living', 'likely', 'muslims'","potential terrorist, muslim","333.333, 166.667","1, 1","potential terrorist, muslim",,
ENT1ST0022HS0097CN001209,train,Every Muslim is a potential terrorist.,Every person is a potential terrorist. What is your point?,"181.81799999999998, 90.90899999999999, 90.90899999999999","1, 1, 2001","potential terrorist', 'point', 'person'","potential terrorist, muslim","333.333, 166.667","1, 1","potential terrorist, muslim",,
ENT1ST0022HS0097CN001210,train,Every Muslim is a potential terrorist.,"And views like that, that lumps all Muslims together, pretends they are less than human pushes them a tiny bit closer.","83.333, 41.667, 41.667, 41.667","1, 1, 1, 1","tiny bit', 'closer', 'human', 'muslims'","potential terrorist, muslim","333.333, 166.667","1, 1","potential terrorist, muslim",,
ENT1ST0022HS0097CN001211,train,Every Muslim is a potential terrorist.,"Every Muslim also has the potential to fight back against terrorism, show support to it is victims, and make the world a better place. (insert news articles about Muslims against terrorism, helping after terrorist attacks, etc.)","113.514, 81.081, 81.081, 81.081, 54.053999999999995, 54.053999999999995, 27.026999999999997, 27.026999999999997, 27.026999999999997, 27.026999999999997, 27.026999999999997","2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","insert news articles', 'it is victims', 'articles about muslims', 'potential', 'support', 'helping', 'terrorist attacks', 'better place', 'terrorism', 'world', 'muslim'","potential terrorist, muslim","333.333, 166.667","1, 1","potential terrorist, muslim",,
ENT1ST0022HS0097CN001212,train,Every Muslim is a potential terrorist.,"I think this is a very inconsiderate thing to say, would you say the same thing about non-Muslims as well?","150.0, 100.0","1, 1","thing about non-muslims', 'inconsiderate thing'","potential terrorist, muslim","333.333, 166.667","1, 1","potential terrorist, muslim",,
ENT1ST0022HS0097CN001213,train,Every Muslim is a potential terrorist.,Every Islamophobic person has the potential to use that intent for terrorism or violence against Muslims. Terrorism comes in all shapes and sizes.,"315.0, 315.0, 105.0, 100.0, 50.0, 50.0, 50.0","1, 1, 1, 1, 1, 1, 1","intent for terrorism', 'islamophobic person', 'sizes', 'shapes', 'violence against muslims', 'potential', 'terrorism'","potential terrorist, muslim","333.333, 166.667","1, 1","potential terrorist, muslim",,
ENT1ST0022HS0097CN001214,train,Every Muslim is a potential terrorist.,How can you say a person is a potential terrorist?,"200.0, 100.0","1, 1","potential terrorist', 'person'","potential terrorist, muslim","333.333, 166.667","1, 1","potential terrorist, muslim",,
ENT1ST0022HS0097CN001215,train,Every Muslim is a potential terrorist.,"You could say that about any person, Muslim or not. According to the government, far right extremism is a bigger terrorist threat than Muslims. Does that make you a potential terrorist?","140.0, 100.0, 70.0, 66.667, 33.333, 33.333, 33.333","1, 1, 1, 1, 1, 1, 1","right extremism', 'bigger terrorist threat', 'potential terrorist', 'government', 'person', 'muslim', 'muslims'","potential terrorist, muslim","333.333, 166.667","1, 1","potential terrorist, muslim",,
ENT1ST0022HS0097CN001216,train,Every Muslim is a potential terrorist.,As is every far right armchair activist.,600,1,right armchair activist',"potential terrorist, muslim","333.333, 166.667","1, 1","potential terrorist, muslim",,
